Replicate Speciation_rate Extinction_rate Ingroup-divergence/divergence-to-the-ingroup-ratio Number_of_leaves Generations Number_of_Genes Haploid_efective_population_size Global_substitution_rate Lineage_species_specific_rate_heterogeneity_gamma_shape Gene_family_locus_tree_specific_rate_heterogeneity_gamma_shape Individuals_per_species
006 0.00000029718750 0.00000029271860 0.5000 2000 12901470.000 100 264248.0 0.00000004140892 1.49536500000000006 2.0513070000 1
007 0.00000021781820 0.00000020875510 0.5000 2000 12340500.000 100 793364.0 0.00000002571875 21.98818999999999946 3.6330410000 1
008 0.00000094901010 0.00000020665450 0.5000 2000 2670303.000 100 389288.0 0.00000001304026 6.15830500000000036 7.6381070000 1
009 0.00000079162360 0.00000041111890 0.5000 2000 19697130.000 100 442518.0 0.00000006546835 29.17926999999999893 1.5413580000 1
010 0.00000011448020 0.00000011118240 0.5000 2000 5159819.000 100 49299.0 0.00000001964319 3.16998500000000005 5.4724010000 1
011 0.00000075225180 0.00000042826270 0.5000 2000 8965808.000 100 641112.0 0.00000002984984 2.64873899999999995 7.1550010000 1
012 0.00000026966950 0.00000024416530 0.5000 2000 20310370.000 100 620419.0 0.00000003635776 2.92682200000000003 1.8651130000 1
013 0.00000049017400 0.00000027805360 0.5000 2000 3001033.000 100 321160.0 0.00000002063592 7.30212299999999992 6.9760030000 1
014 0.00000023704940 0.00000021782870 0.5000 2000 4410926.000 100 171534.0 0.00000002382697 5.40397499999999997 1.3889260000 1
015 0.00000047042310 0.00000019890740 0.5000 2000 14568520.000 100 382344.0 0.00000011571870 13.51451999999999920 2.2105020000 1
016 0.00000013444270 0.00000010127480 0.5000 2000 16183790.000 100 348240.0 0.00000001432357 2.57824000000000009 10.3810200000 1
017 0.00000020057530 0.00000010282290 0.5000 2000 6061701.000 100 922233.0 0.00000001752204 15.00827999999999918 9.2510690000 1
018 0.00000021414580 0.00000016629070 0.5000 2000 21344050.000 100 363416.0 0.00000004030502 8.19212399999999974 3.8180910000 1
019 0.00000040479840 0.00000032953030 0.5000 2000 19774570.000 100 139729.0 0.00000000922169 11.70711999999999975 1.9907460000 1
